Question,Answer
हाई बीपी ठीक करने के लिए किस आसन का सुझाव दिया गया है?,"उच्च रक्तचाप ठीक करने के लिए शवासन का सुझाव दिया जाता है क्योंकि यह गहरा विश्राम प्रदान करता है। इसे करने के लिए, पीठ के बल सीधे लेट जाएं, आंखें बंद रखें, बिल्कुल स्थिर रहें और स्वाभाविक रूप से सांस लें। यह थके हुए शरीर को आराम देने का सबसे कारगर तरीका है।"
हाई बीपी ठीक करने के लिए कौन सा आसन करना चाहिए?,"उच्च रक्तचाप ठीक करने के लिए शवासन का सुझाव दिया जाता है क्योंकि यह गहरा विश्राम प्रदान करता है। इसे करने के लिए, पीठ के बल सीधे लेट जाएं, आंखें बंद रखें, बिल्कुल स्थिर रहें और स्वाभाविक रूप से सांस लें। यह थके हुए शरीर को आराम देने का सबसे कारगर तरीका है।"
हाई बीपी कैसे ठीक करें?,"उच्च रक्तचाप ठीक करने के लिए शवासन का सुझाव दिया जाता है क्योंकि यह गहरा विश्राम प्रदान करता है। इसे करने के लिए, पीठ के बल सीधे लेट जाएं, आंखें बंद रखें, बिल्कुल स्थिर रहें और स्वाभाविक रूप से सांस लें। यह थके हुए शरीर को आराम देने का सबसे कारगर तरीका है।"
तनाव  ठीक करने के लिए किस आसन का सुझाव दिया गया है?,तनाव दूर करने के लिए पश्चिमोत्तानासन का सुझाव दिया जाता है। इसे करने के लिए व्यक्ति को अपने पैरों को जमीन पर एक छड़ी की तरह सीधा फैलाना चाहिए और अपने हाथों से अपने पैर की उंगलियों को पकड़ना चाहिए और अपने माथे को अपने घुटनों पर रखना चाहिए।
तनाव  ठीक करने के लिए कौन सा आसन करना चाहिए?,तनाव दूर करने के लिए पश्चिमोत्तानासन का सुझाव दिया जाता है। इसे करने के लिए व्यक्ति को अपने पैरों को जमीन पर एक छड़ी की तरह सीधा फैलाना चाहिए और अपने हाथों से अपने पैर की उंगलियों को पकड़ना चाहिए और अपने माथे को अपने घुटनों पर रखना चाहिए।
तनाव  कैसे ठीक करें?,तनाव दूर करने के लिए पश्चिमोत्तानासन का सुझाव दिया जाता है। इसे करने के लिए व्यक्ति को अपने पैरों को जमीन पर एक छड़ी की तरह सीधा फैलाना चाहिए और अपने हाथों से अपने पैर की उंगलियों को पकड़ना चाहिए और अपने माथे को अपने घुटनों पर रखना चाहिए।
पश्चिमोत्तानासन करने से क्या होता है?,तनाव दूर करने के लिए पश्चिमोत्तानासन का सुझाव दिया जाता है। इसे करने के लिए व्यक्ति को अपने पैरों को जमीन पर एक छड़ी की तरह सीधा फैलाना चाहिए और अपने हाथों से अपने पैर की उंगलियों को पकड़ना चाहिए और अपने माथे को अपने घुटनों पर रखना चाहिए।
पश्चिमोत्तानासन करने का क्या लाभ है?,तनाव दूर करने के लिए पश्चिमोत्तानासन का सुझाव दिया जाता है। इसे करने के लिए व्यक्ति को अपने पैरों को जमीन पर एक छड़ी की तरह सीधा फैलाना चाहिए और अपने हाथों से अपने पैर की उंगलियों को पकड़ना चाहिए और अपने माथे को अपने घुटनों पर रखना चाहिए।
पश्चिमोत्तानासन किस अवस्था को ठीक करने के लिए करना चाहिए?,तनाव दूर करने के लिए पश्चिमोत्तानासन का सुझाव दिया जाता है। इसे करने के लिए व्यक्ति को अपने पैरों को जमीन पर एक छड़ी की तरह सीधा फैलाना चाहिए और अपने हाथों से अपने पैर की उंगलियों को पकड़ना चाहिए और अपने माथे को अपने घुटनों पर रखना चाहिए।
पश्चिमोत्तानासन कैसे करते हैं?,तनाव दूर करने के लिए पश्चिमोत्तानासन का सुझाव दिया जाता है। इसे करने के लिए व्यक्ति को अपने पैरों को जमीन पर एक छड़ी की तरह सीधा फैलाना चाहिए और अपने हाथों से अपने पैर की उंगलियों को पकड़ना चाहिए और अपने माथे को अपने घुटनों पर रखना चाहिए।
मनोदैहिक रोगों के लिए कौन सा आसन लाभकारी है?,"इसके लिए शवासन लाभकारी है क्योंकि यह मन और शरीर के संबंध को संतुलित करता है। इसे करने के लिए, पीठ के बल सीधे लेट जाएं, आंखें बंद रखें, बिल्कुल स्थिर रहें और स्वाभाविक रूप से सांस लें। यह थके हुए शरीर को आराम देने का सबसे कारगर तरीका है।"
कब्ज के लिए किस आसन का सुझाव दिया गया है?,कब्ज के इलाज के लिए मयूरासन का सुझाव दिया जाता है। इसे करने के लिए हथेलियों को जमीन पर रखें और कोहनियों से नाभि के किनारों को सहारा दें। फिर शरीर को क्षैतिज छड़ी की तरह हवा में उठाएं।
कब्ज से राहत दिलाने में कौन सा आसन मदद करता है?,पश्चिमोत्तानासन जठराग्नि को उत्तेजित करता है और कब्ज में मदद करता है। इसे करने के लिए व्यक्ति को अपने पैरों को जमीन पर एक छड़ी की तरह सीधा फैलाना चाहिए और अपने हाथों से अपने पैर की उंगलियों को पकड़ना चाहिए और अपने माथे को अपने घुटनों पर रखना चाहिए।
कब्ज के लिए कौन सा आसन अच्छा है?,"मत्स्येन्द्रासन रुका हुआ रक्त बाहर निकालने में मदद करता है और कब्ज को ठीक करता है। इसे करने के लिए बाएँ पैर की जांघ के पास दाएँ पैर को रखें, और शरीर को घुमाकर उस पैर को पकड़ें। "
कौन सा आसन कब्ज को ठीक करता है?,"धनुरासन पाचन में सुधार करता है और कब्ज को ठीक करता है। इसे करने के लिए हाथों से पैरों के अंगूठों को पकड़कर, उन्हें धनुष की तरह कानों तक खींचें ।"
पाचन विकारों के लिए किस आसन का सुझाव दिया गया है?,"मयूरासन पाचन अग्नि को मजबूत करता है और पाचन विकारों को ठीक करता है। इसे करने के लिए दोनों हाथों को ज़मीन पर टिकाएँ, अपनी कोहनियों को नाभि के दोनों किनारों पर रखें, और पूरे शरीर को हवा में एक डंडे की तरह ऊपर उठा लें।"
पाचन विकारों के लिए कौन सा आसन लाभकारी है?,"पाचन संतुलन के लिए उत्तान कूर्मासन का सुझाव दिया जाता है। इसे करने के लिए कुक्कुटासन की मुद्रा बनाकर, अपनी भुजाओं (हाथों) को गर्दन के चारों ओर लपेट लें और कछुए की तरह पीठ के बल लेट जाएँ।"
मधुमेह के लिए कौन सा आसन लाभकारी है?,"मयूरासन पेट के अंगों को उत्तेजित करता है और मधुमेह में मदद करता है। इसे करने के लिए दोनों हाथों को ज़मीन पर टिकाएँ, अपनी कोहनियों को नाभि के दोनों किनारों पर रखें, और पूरे शरीर को हवा में एक डंडे की तरह ऊपर उठा लें।"
मधुमेह के लिए कौन सा आसन करें?,"मत्स्येन्द्रासन मधुमेह के लिए लाभकारी है क्योंकि यह अग्न्याशय को उत्तेजित करता है। इसे करने के लिए बाएँ पैर की जांघ के पास दाएँ पैर को रखें, और शरीर को घुमाकर उस पैर को पकड़ें। "
मासिक धर्म चक्र को विनियमित करने में कौन सा आसन मदद करता है?,"धनुरासन श्रोणि अंगों को टोन करके मासिक धर्म चक्र को विनियमित करने में मदद करता है। इसे करने के लिए हाथों से पैरों के अंगूठों को पकड़कर, उन्हें धनुष की तरह कानों तक खींचें ।"
पेट की चर्बी कम करने के लिए कौन सा आसन सबसे अच्छा है?,पश्चिमोत्तानासन को स्पष्ट रूप से कमर को पतला करने वाला बताया गया है। इसे करने के लिए व्यक्ति को अपने पैरों को जमीन पर एक छड़ी की तरह सीधा फैलाना चाहिए और अपने हाथों से अपने पैर की उंगलियों को पकड़ना चाहिए और अपने माथे को अपने घुटनों पर रखना चाहिए।
मूत्र विकारों में कौन सा आसन मदद करता है?,"कूर्मासन मूत्र विकारों में मदद करता है। इसे करने के लिए, एड़ियों को श्रोणि क्षेत्र के नीचे क्रॉस करके, पेरिनियल क्षेत्र पर मजबूती से दबाना चाहिए। इस आसन को कछुआ आसन के नाम से जाना जाता है।"
गठिया के लिए किस आसन का सुझाव दिया गया है?,"मत्स्येन्द्रासन पाचन अग्नि को बढ़ाता है जो गठिया पैदा करने वाले विषाक्त पदार्थों को हटाने में मदद करता है। इसे करने के लिए बाएँ पैर की जांघ के पास दाएँ पैर को रखें, और शरीर को घुमाकर उस पैर को पकड़ें। "
छाती के रोगों में कौन सा आसन मदद करता है?,"मत्स्येन्द्रासन रीढ़ को मजबूत करता है और स्लिप्ड डिस्क में मदद करता है (सावधानीपूर्वक अभ्यास करें)। इसे करने के लिए बाएँ पैर की जांघ के पास दाएँ पैर को रखें, और शरीर को घुमाकर उस पैर को पकड़ें। "
,"धनुरासन छाती का विस्तार करता है और छाती के रोगों में मदद करता है। इसे करने के लिए हाथों से पैरों के अंगूठों को पकड़कर, उन्हें धनुष की तरह कानों तक खींचें ।"
थायराइड की समस्याओं के लिए कौन सा आसन लाभकारी है?,"सिंहासन गर्दन को खींचता है और थायराइड को लाभ पहुंचाता है। इसे करने के लिए अपनी एड़ियों को शरीर के मध्य भाग के नीचे रखें, हाथों को घुटनों पर रखकर उंगलियाँ फैला लें, मुँह खुला रखें और अपनी नज़र नाक की नोक पर टिकाएँ। "
तंत्रिका विकारों के लिए किस आसन का सुझाव दिया गया है?,"तंत्रिका विकारों के लिए उत्तान कूर्मासन का सुझाव दिया जाता है। इसे करने के लिए कुक्कुटासन की मुद्रा बनाकर, अपनी भुजाओं (हाथों) को गर्दन के चारों ओर लपेट लें और कछुए की तरह पीठ के बल लेट जाएँ।"
तंत्रिका विकारों के लिए किस आसन का सुझाव दिया गया है?,"पद्मासन तंत्रिका स्थिरता के लिए उत्कृष्ट है। इसे करने के लिए दाएँ पैर को बाईं जांघ पर और बाएँ पैर को दाईं जांघ पर रखें, हाथों को पीठ के पीछे से ले जाकर पैरों के अंगूठों को पकड़ें, अपनी ठुड्डी को छाती से सटाएं और अपनी नज़र नाक की नोक पर टिकाएँ।"
क्रोध प्रबंधन में कौन सा आसन मदद करता है?,"उत्तान कूर्मासन मन को शांत करने और क्रोध को प्रबंधित करने में मदद करता है। इसे करने के लिए कुक्कुटासन की मुद्रा बनाकर, अपनी भुजाओं (हाथों) को गर्दन के चारों ओर लपेट लें और कछुए की तरह पीठ के बल लेट जाएँ।"
कुंडलिनी जागरण के लिए किस आसन का सुझाव दिया गया है?,"कुंडलिनी जागरण के लिए कुक्कुटासन का सुझाव दिया जाता है।
कुक्कुटासन करने के लिए, पद्मासन में बैठें। फिर, हाथों को जांघों और घुटनों के बीच रखें और शरीर को जमीन से ऊपर उठाएं, शरीर का वजन हाथों पर टिकाएं।"
ऊपरी पीठ की जकड़न में कौन सा आसन मदद करता है?,"कूर्मासन पीठ दर्द को कम करने में मदद करता है। इसे करने के लिए, एड़ियों को श्रोणि क्षेत्र के नीचे क्रॉस करके, पेरिनियल क्षेत्र पर मजबूती से दबाना चाहिए। इस आसन को कछुआ आसन के नाम से जाना जाता है।"
पीठ दर्द को ठीक करने के लिए किस आसन का सुझाव दिया गया है?,"कूर्मासन पीठ दर्द को कम करने में मदद करता है। इसे करने के लिए, एड़ियों को श्रोणि क्षेत्र के नीचे क्रॉस करके, पेरिनियल क्षेत्र पर मजबूती से दबाना चाहिए। इस आसन को कछुआ आसन के नाम से जाना जाता है।"
पीठ दर्द को ठीक करने के लिए कौन सा आसन करना चाहिए?,"कूर्मासन पीठ दर्द को कम करने में मदद करता है। इसे करने के लिए, एड़ियों को श्रोणि क्षेत्र के नीचे क्रॉस करके, पेरिनियल क्षेत्र पर मजबूती से दबाना चाहिए। इस आसन को कछुआ आसन के नाम से जाना जाता है।"
पीठ दर्द को कैसे ठीक करें?,"कूर्मासन पीठ दर्द को कम करने में मदद करता है। इसे करने के लिए, एड़ियों को श्रोणि क्षेत्र के नीचे क्रॉस करके, पेरिनियल क्षेत्र पर मजबूती से दबाना चाहिए। इस आसन को कछुआ आसन के नाम से जाना जाता है।"
कूर्मासन करने से क्या होता है?,"कूर्मासन पीठ दर्द को कम करने में मदद करता है। इसे करने के लिए, एड़ियों को श्रोणि क्षेत्र के नीचे क्रॉस करके, पेरिनियल क्षेत्र पर मजबूती से दबाना चाहिए। इस आसन को कछुआ आसन के नाम से जाना जाता है।"
कूर्मासन करने का क्या लाभ है?,"कूर्मासन पीठ दर्द को कम करने में मदद करता है। इसे करने के लिए, एड़ियों को श्रोणि क्षेत्र के नीचे क्रॉस करके, पेरिनियल क्षेत्र पर मजबूती से दबाना चाहिए। इस आसन को कछुआ आसन के नाम से जाना जाता है।"
कूर्मासन किस अवस्था को ठीक करने के लिए करना चाहिए?,"कूर्मासन पीठ दर्द को कम करने में मदद करता है। इसे करने के लिए, एड़ियों को श्रोणि क्षेत्र के नीचे क्रॉस करके, पेरिनियल क्षेत्र पर मजबूती से दबाना चाहिए। इस आसन को कछुआ आसन के नाम से जाना जाता है।"
कूर्मासन कैसे करते हैं?,"कूर्मासन पीठ दर्द को कम करने में मदद करता है। इसे करने के लिए, एड़ियों को श्रोणि क्षेत्र के नीचे क्रॉस करके, पेरिनियल क्षेत्र पर मजबूती से दबाना चाहिए। इस आसन को कछुआ आसन के नाम से जाना जाता है।"
कौन सा आसन ऊपरी पीठ की कठोरता में मदद करता है?,"गोमुखासन ऊपरी पीठ की जकड़न को दूर करने में मदद करता है।
गोमुखासन करने के लिए, व्यक्ति को अपने दाहिने टखने को बाएं नितंब के पास और बाएं टखने को दाहिने नितंब के पास रखना चाहिए। यह स्थिति गाय के चेहरे जैसी दिखती है।"
गोमुखासन आसन किसे करना चाहिए?,"गोमुखासन ऊपरी पीठ की जकड़न को दूर करने में मदद करता है।
गोमुखासन करने के लिए, व्यक्ति को अपने दाहिने टखने को बाएं नितंब के पास और बाएं टखने को दाहिने नितंब के पास रखना चाहिए। यह स्थिति गाय के चेहरे जैसी दिखती है।"
गोमुखासन आसन के क्या फ़ायदे हैं?,"गोमुखासन ऊपरी पीठ की जकड़न को दूर करने में मदद करता है।
गोमुखासन करने के लिए, व्यक्ति को अपने दाहिने टखने को बाएं नितंब के पास और बाएं टखने को दाहिने नितंब के पास रखना चाहिए। यह स्थिति गाय के चेहरे जैसी दिखती है।"
जब आप गोमुखासन आसन का अभ्यास करते हैं तो क्या होता है?,"गोमुखासन ऊपरी पीठ की जकड़न को दूर करने में मदद करता है।
गोमुखासन करने के लिए, व्यक्ति को अपने दाहिने टखने को बाएं नितंब के पास और बाएं टखने को दाहिने नितंब के पास रखना चाहिए। यह स्थिति गाय के चेहरे जैसी दिखती है।"
गोमुखासन आसन कैसे करें?,"गोमुखासन ऊपरी पीठ की जकड़न को दूर करने में मदद करता है।
गोमुखासन करने के लिए, व्यक्ति को अपने दाहिने टखने को बाएं नितंब के पास और बाएं टखने को दाहिने नितंब के पास रखना चाहिए। यह स्थिति गाय के चेहरे जैसी दिखती है।"
भावनात्मक स्वास्थ्य के लिए कौन सा आसन लाभकारी है?,"सिद्धासन रक्त प्रवाह को नियंत्रित करता है और हृदय स्वास्थ्य के लिए अच्छा है।
बाएं पैर की एड़ी को पेरिनियम पर मजबूती से दबाएं और दाएं पैर की एड़ी को जननांग के ठीक ऊपर रखें। ठुड्डी को छाती से मजबूती से दबाकर रखें। इंद्रियों को नियंत्रित रखें और दृष्टि को भौंहों के बीच की जगह पर स्थिर रखें।"
भावनात्मक स्वास्थ्य के लिए कौन सा आसन करें?,"सिद्धासन भावनात्मक संतुलन और मानसिक स्पष्टता के लिए लाभकारी है।
बाएं पैर की एड़ी को पेरिनियम पर मजबूती से दबाएं और दाएं पैर की एड़ी को जननांग के ठीक ऊपर रखें। ठुड्डी को छाती से मजबूती से दबाकर रखें। इंद्रियों को नियंत्रित रखें और दृष्टि को भौंहों के बीच की जगह पर स्थिर रखें।"
कौन सा आसन स्टेमरिंग में मदद करता है?,"सिंहासन हकलाने को ठीक करता है और स्पष्ट वाणी में सहायक होता है। इसे करने के लिए अपनी एड़ियों को शरीर के मध्य भाग के नीचे रखें, हाथों को घुटनों पर रखकर उंगलियाँ फैला लें, मुँह खुला रखें और अपनी नज़र नाक की नोक पर टिकाएँ। "
आत्मविश्वास बढ़ाने के लिए कौन सा आसन लाभकारी है?,"सिंहासन आत्मविश्वास और निर्भयता बढ़ाने में मदद करता है। इसे करने के लिए अपनी एड़ियों को शरीर के मध्य भाग के नीचे रखें, हाथों को घुटनों पर रखकर उंगलियाँ फैला लें, मुँह खुला रखें और अपनी नज़र नाक की नोक पर टिकाएँ। "
यदि आप सिंहासनम/शेर मुद्रा का अभ्यास करते हैं तो क्या होता है?,"सिंहासन आत्मविश्वास और निर्भयता बढ़ाने में मदद करता है। इसे करने के लिए अपनी एड़ियों को शरीर के मध्य भाग के नीचे रखें, हाथों को घुटनों पर रखकर उंगलियाँ फैला लें, मुँह खुला रखें और अपनी नज़र नाक की नोक पर टिकाएँ। "
सिंहासनम/शेर मुद्रा का अभ्यास किसे करना चाहिए?,"सिंहासन आत्मविश्वास और निर्भयता बढ़ाने में मदद करता है। इसे करने के लिए अपनी एड़ियों को शरीर के मध्य भाग के नीचे रखें, हाथों को घुटनों पर रखकर उंगलियाँ फैला लें, मुँह खुला रखें और अपनी नज़र नाक की नोक पर टिकाएँ। "
भद्रासन कैसे करते हैं?,भद्रासन स्थिरता और आत्मविश्वास का निर्माण करता है।
भद्रासन का अनोखा फ़ायदा क्या है?,भद्रासन स्थिरता और आत्मविश्वास का निर्माण करता है।
भद्रासन का अभ्यास किसे करना चाहिए?,भद्रासन स्थिरता और आत्मविश्वास का निर्माण करता है।
भद्रासन करने से क्या होता है?,भद्रासन स्थिरता और आत्मविश्वास का निर्माण करता है।
हठयोगप्रदीपिका का प्रथम श्लोक क्या है?,"शरी आदि नाथाय नमो।अस्तु तस्मै
येनोपदिष्ह्टा हठ योग विद्या ।
विभ्राजते परोन्नत राज योगम
आरोढुमिछ्छोरधिरोहिणीव ॥"
हठयोगप्रदीपिका का द्वितीय श्लोक क्या है?,"परणम्य शरी गुरुं नाथं सवात्मारामेण योगिना ।
केवलं राज योगाय हठ विद्योपदिश्यते ॥"
हठयोगप्रदीपिका का तृतीय श्लोक क्या है?,"भरान्त्या बहुमत धवान्ते राज योगमजानताम ।
हठ परदीपिकां धत्ते सवात्मारामः कॄपाकरः ॥"
हठयोगप्रदीपिका का चतुर्थ श्लोक क्या है?,"हठ विद्यां हि मत्स्येन्द्र गोरक्ष्हाद्या विजानते ।
सवात्मारामो।अथवा योगी जानीते तत परसादतः ॥"
हठयोगप्रदीपिका का पंचम श्लोक क्या है?,"शरी आदिनाथ मत्स्येन्द्र शावरानन्द भैरवाः ।
छौरङ्गी मीन गोरक्ष्ह विरूपाक्ष्ह बिलेशयाः ॥"
हठयोगप्रदीपिका का षष्ठ श्लोक क्या है?,"मन्थानो भैरवो योगी सिद्धिर्बुद्धश्छ कन्थडिः ।
कोरंटकः सुरानन्दः सिद्धपादश्छ छर्पटिः ॥"
हठयोगप्रदीपिका का सप्तम श्लोक क्या है?,"कानेरी पूज्यपादश्छ नित्य नाथो निरञ्जनः ।
कपाली बिन्दुनाथश्छ काकछण्डीश्वराह्वयः ॥ "
हठयोगप्रदीपिका का अष्टम श्लोक क्या है?,"अल्लामः परभुदेवश्छ घोडा छोली छ टिंटिणिः ।
भानुकी नारदेवश्छ खण्डः कापालिकस्तथा ॥"
हठयोगप्रदीपिका का नवम श्लोक क्या है?,"इत्यादयो महासिद्धा हठ योग परभावतः |
खण्डयित्वा काल दण्डं बरह्माण्डे विछरन्ति ते ॥"
हठयोगप्रदीपिका का दशम श्लोक क्या है?,"अशेष्ह ताप तप्तानां समाश्रय मठो हठः ।
अशेष्ह योग युक्तानामाधार कमठो हठः ।।"
हठयोगप्रदीपिका का एकादश श्लोक क्या है?,"हठ विद्या परं गोप्या योगिना सिद्धिमिछ्छता ।
भवेद्वीर्यवती गुप्ता निर्वीर्या तु परकाशिता ॥"
हठयोगप्रदीपिका का द्वादश श्लोक क्या है?,"सुराज्ये धार्मिके देशे सुभिक्ष्हे निरुपद्रवे ।
धनुः परमाण पर्यन्तं शिलाग्नि जल वर्जिते ।
एकान्ते मठिका मध्ये सथातव्यं हठ योगिना ॥"
हठयोगप्रदीपिका का त्रयोदश श्लोक क्या है?,"अल्प दवारमरन्ध्र गर्त विवरं नात्युछ्छ नीछायतं
सम्यग गोमय सान्द्र लिप्तममलं निःशेस जन्तूज्झितम ।
बाह्ये मण्डप वेदि कूप रुछिरं पराकार संवेष्ह्टितं
परोक्तं योग मठस्य लक्ष्हणमिदं सिद्धैर्हठाभ्यासिभिः ॥"
हठयोगप्रदीपिका का चतुर्दश श्लोक क्या है?,"एवं विधे मठे सथित्वा सर्व छिन्ता विवर्जितः ।
गुरूपदिष्ह्ट मार्गेण योगमेव समभ्यसेत ॥"
हठयोगप्रदीपिका का पंचदश श्लोक क्या है?,"अत्याहारः परयासश्छ परजल्पो नियमाग्रहः ।
जन सङ्गश्छ लौल्यं छ षहड्भिर्योगो विनश्यति ॥"
हठयोगप्रदीपिका का षोडश श्लोक क्या है?,"उत्साहात्साहसाद्धैर्यात्तत्त्व जञानाश्छ निश्छयात ।
जन सङ्ग परित्यागात्ष्हड्भिर्योगः परसिद्ध्यति ॥"
हठयोगप्रदीपिका का सप्तदश श्लोक क्या है?,"अथ यम नियमाः
अहिंसा सत्यमस्तेयं बरह्मछर्यं कष्हमा धॄतिः ।
दयार्जवं मिताहारः शौछं छैव यमा दश ॥"
हठयोगप्रदीपिका का अष्टादश श्लोक क्या है?,"तपः सन्तोष्ह आस्तिक्यं दानमीश्वर पूजनम ।
सिद्धान्त वाक्य शरवणं हरीमती छ तपो हुतम ।
नियमा दश सम्प्रोक्ता योग शास्त्र विशारदैः ॥"
हठयोगप्रदीपिका का नवदश श्लोक क्या है?,"अथ आसनम
हठस्य परथमाङ्गत्वादासनं पूर्वमुछ्यते ।
कुर्यात्तदासनं सथैर्यमारोग्यं छाङ्ग लाघवम ॥"
हठयोगप्रदीपिका का विंशतिम श्लोक क्या है?,"वशिष्ह्ठाद्यैश्छ मुनिभिर्मत्स्येन्द्राद्यैश्छ योगिभिः ।
अङ्गीकॄतान्यासनानि कथ्यन्ते कानिछिन्मया ॥"
हठयोगप्रदीपिका का एकविंशतिम श्लोक क्या है?,"जानूर्वोरन्तरे सम्यक्कॄत्वा पाद तले उभे ।
ॠजु कायः समासीनः सवस्तिकं तत्प्रछक्ष्हते ॥"
हठयोगप्रदीपिका का द्वाविंशतिम श्लोक क्या है?,"सव्ये दक्ष्हिण गुल्कं तु पॄष्ह्ठ पार्श्वे नियोजयेत ।
दक्ष्हिणे।अपि तथा सव्यं गोमुखं गोमुखाकॄतिः ॥ "
हठयोगप्रदीपिका का त्रयोविंशतिम श्लोक क्या है?,"सव्ये दक्ष्हिण गुल्कं तु पॄष्ह्ठ पार्श्वे नियोजयेत ।
दक्ष्हिणे।अपि तथा सव्यं गोमुखं गोमुखाकॄतिः ॥"
हठयोगप्रदीपिका का चतुर्विंशतिम श्लोक क्या है?,"गुदं निरुध्य गुल्फाभ्यां वयुत्क्रमेण समाहितः ।
कूर्मासनं भवेदेतदिति योग विदो विदुः ॥"
हठयोगप्रदीपिका का पंचविंशतिम श्लोक क्या है?,"पद्मासनं तु संस्थाप्य जानूर्वोरन्तरे करौ ।
निवेश्य भूमौ संस्थाप्य वयोमस्थं कुक्कुटासनम ॥"
हठयोगप्रदीपिका का षड्विंशतिम श्लोक क्या है?,"कुक्कुटासन बन्ध सथो दोर्भ्यां सम्बद्य कन्धराम ।
भवेद्कूर्मवदुत्तान एतदुत्तान कूर्मकम ॥"
हठयोगप्रदीपिका का सप्तविंशतिम श्लोक क्या है?,"पादाङ्गुष्ह्ठौ तु पाणिभ्यां गॄहीत्वा शरवणावधि ।
धनुराकर्ष्हणं कुर्याद्धनुर आसनमुछ्यते ॥"
