Page_Number,Sutra,Book_Name,Sanskrit,Romanised_Sanskrit,Meaning,Question,Hindi_Question,Answer,Hindi_Answer,Reference_Link
4,12,Haṭha Yoga Pradīpikā,"सुराज्ये धार्मिके देशे सुभिक्ष्हे निरुपद्रवे |
धनुः परमाण पर्यन्तं शिलाग्नि जल वर्जिते |
एकान्ते मठिका मध्ये सथातव्यं हठ योगिना || १२ ||","surājye dhārmike deśe subhikṣhe nirupadrave |
dhanuḥ pramāṇa paryantaṃ śilāghni jala varjite |
ekānte maṭhikā madhye sthātavyaṃ haṭha yoghinā || 12 ||","The Yogî should practise Haṭha Yoga in a small room, situated in a solitary place, being 4 cubits square, and free from stones, fire, water, disturbances of all kinds, and in a country where justice is properly administered, where good people live, and food can be obtained easily and plentifully.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
4,13,Haṭha Yoga Pradīpikā,"अल्प दवारमरन्ध्र गर्त विवरं नात्युछ्छ नीछायतं
सम्यग गोमय सान्द्र लिप्तममलं निःशेस जन्तूज्झितम |
बाह्ये मण्डप वेदि कूप रुछिरं पराकार संवेष्ह्टितं
परोक्तं योग मठस्य लक्ष्हणमिदं सिद्धैर्हठाभ्यासिभिः || १३ ||","alpa dvāramarandhra gharta vivaraṃ nātyuchcha nīchāyataṃ
samyagh ghomaya sāndra liptamamalaṃ niḥśesa jantūjjhitam |
bāhye maṇḍapa vedi kūpa ruchiraṃ prākāra saṃveṣhṭitaṃ
proktaṃ yogha maṭhasya lakṣhaṇamidaṃ siddhairhaṭhābhyāsibhiḥ || 13 ||","The room should have a small door, be free from holes, hollows, neither too high nor too low, well plastered with cow dung and free from dirt, filth and insects. On its outside there should be bowers, raised platform (chabootrâ), a well, and a compound. These characteristics of a room for Haṭha Yogîs have been described by adepts in the practice of Haṭha.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
4,12-13,Haṭha Yoga Pradīpikā,"सुराज्ये धार्मिके देशे सुभिक्ष्हे निरुपद्रवे |
धनुः परमाण पर्यन्तं शिलाग्नि जल वर्जिते |
एकान्ते मठिका मध्ये सथातव्यं हठ योगिना ||
अल्प दवारमरन्ध्र गर्त विवरं नात्युछ्छ नीछायतं
सम्यग गोमय सान्द्र लिप्तममलं निःशेस जन्तूज्झितम |
बाह्ये मण्डप वेदि कूप रुछिरं पराकार संवेष्ह्टितं
परोक्तं योग मठस्य लक्ष्हणमिदं सिद्धैर्हठाभ्यासिभिः ||","surājye dhārmike deśe subhikṣhe nirupadrave |
dhanuḥ paramāṇa paryantaṃ śilāgni jala varjite |
ekānte maṭhikā madhye sathātavyaṃ haṭha yoginā ||
alpa davāramarandhra garta vivaraṃ nātyuchcha nīchāyataṃ
samyaga gomaya sāndra liptamamalaṃ niḥśesa jantūjjhitama |
bāhye maṇḍapa vedi kūpa ruchiraṃ parākāra saṃveṣhṭitaṃ
paroktaṃ yoga maṭhasya lakṣhaṇamidaṃ siddhairhaṭhābhyāsibhiḥ ||","The Yogî should practise Haṭha Yoga in a small room, situated in a solitary place, being 4 cubits square, and free from stones, fire, water, disturbances of all kinds, and in a country where justice is properly administered, where good people live, and food can be obtained easily and plentifully. The room should have a small door, be free from holes, hollows, neither too high nor too low, well plastered with cow dung and free from dirt, filth and insects. On its outside there should be bowers, raised platform (chabootrâ), a well, and a compound. These characteristics of a room for Haṭha Yogîs have been described by adepts in the practice of Haṭha.",What are the specific conditions for the place where one should practice yoga?,योग का अभ्यास करने के लिए उपयुक्त स्थान की विशिष्ट शर्तें क्या हैं?,"The room where one practices yoga should have a small door, no windows, and be free from holes or crevices. The floor should be level and not too high or too low. It should be smeared with cow-dung, clean, and free from all insects. It should be in a solitary, peaceful place ruled by a righteous king, where alms are easily available.","योग साधना के लिए जिस कमरे में अभ्यास किया जाता है, उसमें एक छोटा दरवाजा होना चाहिए, खिड़कियाँ नहीं होनी चाहिए और उसमें कोई छेद या दरार नहीं होनी चाहिए। फर्श समतल होना चाहिए, न अधिक ऊँचा और न अधिक नीचा। फर्श गोबर से लेपा हुआ, साफ-सुथरा और कीड़ों से मुक्त होना चाहिए। यह एकांत, शांत स्थान में होना चाहिए, जहाँ एक धर्मात्मा राजा का शासन हो और जहाँ भिक्षा आसानी से उपलब्ध हो।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
4,14,Haṭha Yoga Pradīpikā,"एवं विधे मठे सथित्वा सर्व छिन्ता विवर्जितः |
गुरूपदिष्ह्ट मार्गेण योगमेव समभ्यसेत || १४ ||","evaṃ vidhe maṭhe sthitvā sarva chintā vivarjitaḥ |
ghurūpadiṣhṭa mārgheṇa yoghameva samabhyaset || 14 ||","Having seated in such a room and free from all anxieties, he should practise Yoga, as instructed by his guru.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,15,Haṭha Yoga Pradīpikā,"अत्याहारः परयासश्छ परजल्पो नियमाग्रहः |
जन सङ्गश्छ लौल्यं छ षहड्भिर्योगो विनश्यति ||","atyāhāraḥ parayāsaścha parajalpo niyamāgrahaḥ |
jana saṅgaścha laulyaṃ cha ṣahaḍbhiryogo vinaśyati ||","Yoga is destroyed by the following six causes:—Over eating, exertion, talkativeness, adhering to rules, i.e., cold bath in the morning, eating at night, or eating fruits only, company of men, and unsteadiness.",What are the causes that fails Yoga ?,योग के असफल होने के क्या कारण हैं?,"The six causes that destroy yoga are: 
1. Atyahara or Over-eating
2. Prayasa or Over-exertion or excessive effort
3. Prajalpa or Talkativeness
4. Niyamagraha or Adhering strictly to rules/rituals or mere formalities
5. Janasangha or Being in the company of common people
6. Laulyam or Fickleness or unsteadiness of mind.","योग को नष्ट करने वाले छह कारण ये हैं:
1. अतिभोग
2. अत्यधिक परिश्रम
3. बातूनीपन
4. नियमों का कड़ाई से पालन करना
5. जनसंघ में रहना
6. चंचलता और मन की अस्थिरता",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,16,Haṭha Yoga Pradīpikā,"उत्साहात्साहसाद्धैर्यात्तत्त्व जञानाश्छ निश्छयात |
जन सङ्ग परित्यागात्ष्हड्भिर्योगः परसिद्ध्यति ||","utsāhātsāhasāddhairyāttattva jañānāścha niśchayāta |
jana saṅga parityāgātṣhaḍbhiryogaḥ parasiddhyati ||","The following six bring speedy success:—Courage, daring, perseverance, discriminative knowledge, faith, aloofness. from company.",What are the six specific causes that bring success in Yoga?,"
योग में सफलता दिलाने वाले छह विशिष्ट कारण क्या हैं?","The six causes that bring success in yoga are: 
1. Utsaha or Enthusiasm or Cheerfulness
2. Sahasa or Courage
3. Dhairya or Patience/Perseverance
4. Tattva-jnana or Knowledge of the Truth
5. Nishchaya or Determination 
6. Janasangha-parityaga or Abandoning the company of people.","योग में सफलता दिलाने वाले छह कारक हैं:
1. उत्साह या उमंग
2. साहस
3. धैर्य
4. सत्य का ज्ञान
5. दृढ़ संकल्प
6. जनसंघ का त्याग।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,17,Haṭha Yoga Pradīpikā,"अथ यम नियमाः
अहिंसा सत्यमस्तेयं बरह्मछर्यं कष्हमा धॄतिः |
दयार्जवं मिताहारः शौछं छैव यमा दश || १७ ||","atha yama niyamāḥ
ahiṃsā satyamasteyaṃ brahmacharyaṃ kṣhamā dhṝtiḥ |
dayārjavaṃ mitāhāraḥ śauchaṃ chaiva yamā daśa || 17 ||","The ten rules of conduct are: ahiṃsâ (non injuring), truth, non stealing, continence, forgiveness, endurance, compassion, meekness, sparing diet and cleanliness.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,18,Haṭha Yoga Pradīpikā,"तपः सन्तोष्ह आस्तिक्यं दानमीश्वर पूजनम |
सिद्धान्त वाक्य शरवणं हरीमती छ तपो हुतम |
नियमा दश सम्प्रोक्ता योग शास्त्र विशारदैः || १८ ||","tapaḥ santoṣha āstikyaṃ dānamīśvara pūjanam |
siddhānta vākya śravaṇaṃ hrīmatī cha tapo hutam |
niyamā daśa samproktā yogha śāstra viśāradaiḥ || 18 ||","The ten niyamas mentioned by those proficient in the knowledge of yoga are: Tapa, patience, belief in God, charity, adoration of God, hearing discourses on the principles of religion, shame, intellect, Tapa and Yajña.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,17-18,Haṭha Yoga Pradīpikā,"अथ यम नियमाः
अहिंसा सत्यमस्तेयं बरह्मछर्यं कष्हमा धॄतिः |
दयार्जवं मिताहारः शौछं छैव यमा दश ||
तपः सन्तोष्ह आस्तिक्यं दानमीश्वर पूजनम |
सिद्धान्त वाक्य शरवणं हरीमती छ तपो हुतम |
नियमा दश सम्प्रोक्ता योग शास्त्र विशारदैः ||","atha yama niyamāḥ
ahiṃsā satyamasteyaṃ barahmacharyaṃ kaṣhamā dhṝtiḥ |
dayārjavaṃ mitāhāraḥ śauchaṃ chaiva yamā daśa ||
tapaḥ santoṣha āstikyaṃ dānamīśvara pūjanama |
siddhānta vākya śaravaṇaṃ harīmatī cha tapo hutama |
niyamā daśa samproktā yoga śāstra viśāradaiḥ ||",,"What are the Yamas , that is, Restraints and Niyamas, that is, Observances in Hatha Yoga?",,"While there are many, the yogic text states that Mitahara or Moderate diet is the most important of the Yamas and Ahimsa or Non-violence is the highest of the Niyamas.","हालांकि कई नियम हैं, योगिक ग्रंथों में कहा गया है कि यमों में सबसे महत्वपूर्ण मिताहारा या संतुलित आहार है और नियमों में सबसे उच्च अहिंसा है।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,19,Haṭha Yoga Pradīpikā,"अथ आसनम
हठस्य परथमाङ्गत्वादासनं पूर्वमुछ्यते |
कुर्यात्तदासनं सथैर्यमारोग्यं छाङ्ग लाघवम || १९ ||","atha āsanam
haṭhasya prathamāngghatvādāsanaṃ pūrvamuchyate |
kuryāttadāsanaṃ sthairyamāroghyaṃ chānggha lāghavam || 19 ||","Being the first accessory of Haṭha Yoga, âsana is described first. It should be practised for gaining steady posture, health and lightness of body.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,20,Haṭha Yoga Pradīpikā,"वशिष्ह्ठाद्यैश्छ मुनिभिर्मत्स्येन्द्राद्यैश्छ योगिभिः |
अङ्गीकॄतान्यासनानि कथ्यन्ते कानिछिन्मया || २० ||","vaśiṣhṭhādyaiścha munibhirmatsyendrādyaiścha yoghibhiḥ |
angghīkṝtānyāsanāni kathyante kānichinmayā || 20 ||","I am going to describe certain âsanas which have been adopted by Munîs like Vasiṣṭha, etc., and Yogîs like Matsyendra, etc.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,21,Haṭha Yoga Pradīpikā,"जानूर्वोरन्तरे सम्यक्कॄत्वा पाद तले उभे |
ॠजु कायः समासीनः सवस्तिकं तत्प्रछक्ष्हते ||","jānūrvorantare samyakkṝtvā pāda tale ubhe |
ṝju kāyaḥ samāsīnaḥ savastikaṃ tatprachakṣhate ||","Having kept both the hands under both the thighs, with the body straight, when one sits calmly in this posture, it is called Swastika.",How is Svastikasana or the Auspicious Pose performed?,स्वस्तिकासन या शुभ आसन कैसे किया जाता है?,"To perform the Svastikasana, one should place the soles of the feet completely between the knees and the thighs and then sit straight with the body balanced and at ease.","स्वस्तिकासन करने के लिए, व्यक्ति को अपने पैरों के तलवों को घुटनों और जांघों के बीच पूरी तरह से रखना चाहिए और फिर शरीर को संतुलित और सहज स्थिति में रखते हुए सीधे बैठना चाहिए।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,22,Haṭha Yoga Pradīpikā,"सव्ये दक्ष्हिण गुल्कं तु पॄष्ह्ठ पार्श्वे नियोजयेत |
दक्ष्हिणे|अपि तथा सव्यं गोमुखं गोमुखाकॄतिः || ","savye dakṣhiṇa gulkaṃ tu pṝṣhṭha pārśve niyojayeta |
dakṣhiṇe|api tathā savyaṃ gomukhaṃ gomukhākṝtiḥ || ","Placing the right ankle on the left side and the left ankle on the right side, makes Gomukha âsana, having the appearance of a cow.",How is Gomukhasana or the Cow Face Pose performed?,गोमुखासन कैसे किया जाता है?,"To perform the Gomukhasana, one should place their right ankle next to the left buttock and the left ankle next to the right buttock. This position resembles the face of a cow.","गोमुखासन करने के लिए, व्यक्ति को अपने दाहिने टखने को बाएं नितंब के पास और बाएं टखने को दाहिने नितंब के पास रखना चाहिए। यह स्थिति गाय के चेहरे जैसी दिखती है।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,23,Haṭha Yoga Pradīpikā,"सव्ये दक्ष्हिण गुल्कं तु पॄष्ह्ठ पार्श्वे नियोजयेत |
दक्ष्हिणे|अपि तथा सव्यं गोमुखं गोमुखाकॄतिः ||","savye dakṣhiṇa gulkaṃ tu pṝṣhṭha pārśve niyojayeta |
dakṣhiṇe|api tathā savyaṃ gomukhaṃ gomukhākṝtiḥ ||",One foot is to be placed on the thigh of the opposite side; and so also the other foot on the opposite thigh. This is called Vîrâsana.,How is Virasana or the Hero Pose performed?,वीरासन कैसे किया जाता है?,"To perform the Virasana, one should place one foot firmly on the opposite thigh and the other foot under the opposite thigh. ","वीरासन करने के लिए, एक पैर को विपरीत जांघ पर मजबूती से रखना चाहिए और दूसरे पैर को विपरीत जांघ के नीचे रखना चाहिए।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
5,24,Haṭha Yoga Pradīpikā,"गुदं निरुध्य गुल्फाभ्यां वयुत्क्रमेण समाहितः |
कूर्मासनं भवेदेतदिति योग विदो विदुः ||","gudaṃ nirudhya gulphābhyāṃ vayutkrameṇa samāhitaḥ |
kūrmāsanaṃ bhavedetaditi yoga vido viduḥ ||","Placing the right ankle on the left side of anus, and the left ankle on the right side of it, makes what the Yogîs call Kûrma âsana.",How is Kurmasana or the Tortoise Pose performed?,कुर्मासन कैसे किया जाता है?,"To perform the Kurmasana, one should press their heels firmly against the perineal region, keeping them crossed beneath the pelvic area. This posture is known as the Tortoise Pose.","कुर्मासन करने के लिए, एड़ियों को श्रोणि क्षेत्र के नीचे क्रॉस करके, पेरिनियल क्षेत्र पर मजबूती से दबाना चाहिए। इस आसन को कछुआ आसन के नाम से जाना जाता है।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
6,25,Haṭha Yoga Pradīpikā,"पद्मासनं तु संस्थाप्य जानूर्वोरन्तरे करौ |
निवेश्य भूमौ संस्थाप्य वयोमस्थं कुक्कुटासनम ||","padmāsanaṃ tu saṃsthāpya jānūrvorantare karau |
niveśya bhūmau saṃsthāpya vayomasthaṃ kukkuṭāsanama ||","Taking the posture of Padma âsana and carrying the hands under the thighs, when the Yogî raises himself above the ground, with his palms resting on the ground, it becomes Kukkuṭa âsana.",How is Kukkutasana or the Rooster pose performed?,कुक्कुटासन कैसे किया जाता है?,"To perform the Kukkutasana, one should sit in Padmasana. Then, Insert the hands between the thighs and knees and lift the body off the ground, supporting the weight of the body on their hands.","
कुक्कुटासन करने के लिए, पद्मासन में बैठें। फिर, हाथों को जांघों और घुटनों के बीच रखें और शरीर को जमीन से ऊपर उठाएं, शरीर का वजन हाथों पर टिकाएं।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
6,26,Haṭha Yoga Pradīpikā,"कुक्कुटासन बन्ध सथो दोर्भ्यां सम्बद्य कन्धराम |
भवेद्कूर्मवदुत्तान एतदुत्तान कूर्मकम ||","kukkuṭāsana bandha satho dorbhyāṃ sambadya kandharāma |
bhavedkūrmavaduttāna etaduttāna kūrmakama ||","Having assumed Kukkuṭa âsana, when one grasps his neck by crossing his hands behind his head, and lies in this posture with his back touching the ground, it becomes Uttâna Kûrma âsana, from its appearance like that of a tortoise.",How is Uttana Kurmasana or the Stretching Tortoise Pose performed?,उत्ताना कुर्मासन कैसे किया जाता है?,"To perform the Uttana Kurmasana, one should start in Kukkutasana or the Rooster pose. Then, while balanced on their hands, one must lie flat on the back like a tortoise and catch the neck with the hands.","उत्ताना कुर्मासन करने के लिए, कुक्कुटासन या मुर्गा मुद्रा से शुरुआत करें। फिर, हाथों पर संतुलन बनाए रखते हुए, कछुए की तरह पीठ के बल लेट जाएं और हाथों से गर्दन को पकड़ें।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
6,27,Haṭha Yoga Pradīpikā,"पादाङ्गुष्ह्ठौ तु पाणिभ्यां गॄहीत्वा शरवणावधि |
धनुराकर्ष्हणं कुर्याद्धनुर आसनमुछ्यते ||","pādāṅguṣhṭhau tu pāṇibhyāṃ gṝhītvā śaravaṇāvadhi |
dhanurākarṣhaṇaṃ kuryāddhanura āsanamuchyate ||","Having caught the toes of the feet with both the hands and carried them to the ears by drawing the body like a bow, it becomes Dhanura âsana.",How is Dhanurasana or the Bow Pose performed?,धनुरासन कैसे किया जाता है?,"To perform the Dhanurasana, one must hold their toes with their hands, with one hand for each foot, and pull them up to the ears, arching the body like a drawn bow.","
धनुरासन करने के लिए, व्यक्ति को अपने पैरों की उंगलियों को हाथों से पकड़ना चाहिए, प्रत्येक पैर के लिए एक हाथ का उपयोग करके, और उन्हें कानों तक खींचना चाहिए, जिससे शरीर एक खींचे हुए धनुष की तरह धनुषाकार हो जाए।",https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
6,28,Haṭha Yoga Pradīpikā,"वामोरु मूलार्पित दक्ष्ह पादं
जानोर्बहिर्वेष्ह्टित वाम पादम |
परगॄह्य तिष्ह्ठेत्परिवर्तिताङ्गः
शरी मत्य्सनाथोदितमासनं सयात || २८ ||","vāmoru mūlārpita dakṣha pādaṃ
jānorbahirveṣhṭita vāma pādam |
praghṝhya tiṣhṭhetparivartitāngghaḥ
śrī matysanāthoditamāsanaṃ syāt || 28 ||","Having placed the right foot at the root of the left thigh, let the toe be grasped with the right hand passing over the back, and having placed the left foot on the right thigh at its root, let it be grasped with the left hand passing behind the back. This is the âsana, as explained by Śri Matsyanâtha.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
6,29,Haṭha Yoga Pradīpikā,"मत्स्येन्द्र पीठं जठर परदीप्तिं
परछण्ड रुग्मण्डल खण्डनास्त्रम |
अभ्यासतः कुण्डलिनी परबोधं
छन्द्र सथिरत्वं छ ददाति पुंसाम || २९ ||","matsyendra pīṭhaṃ jaṭhara pradīptiṃ
prachaṇḍa rughmaṇḍala khaṇḍanāstram |
abhyāsataḥ kuṇḍalinī prabodhaṃ
chandra sthiratvaṃ cha dadāti puṃsām || 29 ||","It increases appetite and is an instrument for destroying the group of the most deadly diseases. Its practice awakens the Kundalinî, stops the nectar shedding from the moon in people.",,,,,https://gyanbharatam.com/manuscript/view?id=9f06fbc7 3682 4966 8d7c 8fb86aaa0275
