Pada,Sutra,Page_Number,Book_Name,Sanskrit,Romanised_Sanskrit,Hindi,English,Question,Hindi_Question,Answer,Hindi_Answer,Reference_Link,,,क्रम संख्या
1,10,3,Patanjali Yoga Sutra,अभावप्रत्ययालम्बना वृत्तिर्निद्रा,abhāva-pratyayālambanā vṛttir nidrā,विषयागत बोध का आभाव निद्रा है,Sleep Is The Property Which Is Supported By The Absence Of Objectives Awareness Or Perception,What is the tenth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का दसवाँ सूत्र क्या है?,Sleep Is The Property Which Is Supported By The Absence Of Objectives Awareness Or Perception,विषयागत बोध का आभाव निद्रा है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,10
1,11,4,Patanjali Yoga Sutra,अनुभूतविषयासम्प्रमोषः स्मृतिः,anubhūta-viṣayāsaṁpramoṣaḥ smṛtiḥ,"स्मृति हमारी अनुभूतिय है जो हमारे अंदर शेष रह जाती है, जिन्हें हम भुल नही पाते",Memory Is the Retained Impressions Of Experienced Impressions,What is the eleventh sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का ग्यारहवाँ सूत्र क्या है?,Memory Is the Retained Impressions Of Experienced Impressions,"स्मृति हमारी अनुभूतिय है जो हमारे अंदर शेष रह जाती है, जिन्हें हम भुल नही पाते",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,11
1,12,4,Patanjali Yoga Sutra,अभ्यासवैराग्याभ्यां तन्निरोधः,abhyāsavairāgyābhyāṃ tannirodhaḥ,इन वृत्तयो को अभ्यास ओर वैराग्य द्वारा नियंत्रित किया जा सकता है,The Ceasing Of (Properties of Being) Come By Practice and Non Attachment,What is the twelfth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का बारहवाँ सूत्र क्या है?,The Ceasing Of (Properties of Being) Come By Practice and Non Attachment,इन वृत्तयो को अभ्यास ओर वैराग्य द्वारा नियंत्रित किया जा सकता है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,12
1,13,4,Patanjali Yoga Sutra,तत्र स्थितौ यत्नोऽभ्यासः,tatra sthitau yatno’bhyāsaḥ,किसी स्थिति के लिए बार बार प्रयत्न करना अभ्यास है,The Continuous Effort for a State Is Practice,What is the thirteenth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का तेरहवाँ सूत्र क्या है?,The Continuous Effort for a State Is Practice,किसी स्थिति के लिए बार बार प्रयत्न करना अभ्यास है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,13
1,14,4,Patanjali Yoga Sutra,स तु दीर्घकालनैरन्तर्यसत्कारासेवितो दृढभूमिः,sa tu dīrghakālanairantaryasatkārāsevito dṛḍhabhūmiḥ,यह तभी सफल होता है जब हम इसे लम्बे समय के लिए To संकल्प तथा समर्पण के साथ करते है,The Practice Is Attained On Firm Basis When the It Is Done With Devotion for A Long Time Continuously,What is the fourteenth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का चौदहवाँ सूत्र क्या है?,The Practice Is Attained On Firm Basis When the It Is Done With Devotion for A Long Time Continuously,यह तभी सफल होता है जब हम इसे लम्बे समय के लिए To संकल्प तथा समर्पण के साथ करते है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,14
1,15,4,Patanjali Yoga Sutra,दृष्टानुश्रविकविषयवितृष्णस्य वशीकारसंज्ञा वैराग्यम्,dṛṣtānuśravika-viṣaya-vitṛṣṇasya vaśīkāra-saṁjñā vairāgyam,परमबोध होना तथा विषयों में अनासक्ति होना वैराग्य कहलाता है,The Non Attachment Is State Of Supreme Awareness And Dispassion From Things Perceived,What is the fifteenth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का पंद्रहवाँ सूत्र क्या है?,The Non Attachment Is State Of Supreme Awareness And Dispassion From Things Perceived,परमबोध होना तथा विषयों में अनासक्ति होना वैराग्य कहलाता है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,15
1,16,5,Patanjali Yoga Sutra,तत्परं पुरुषख्यातेर्गुणवैतृष्ण्यम्,tatparaṃ puruṣakhyāterguṇavaitṛṣṇyam,परम अवस्था वह होती है जिसमे हम प्रकृति के गुणों से प्रभावित नही होते उनसे आसक्त नही होते है,"That Highest State Of Non Attachment Occurs When There Is Freedom From Influence Of Material Nature

{Practice And Non Attachment Are Like Movement And Balance Of A Running Bicycle
To Keep Running You Must Have To Keep Balance
And To Make Balance You Must Have To Running}",What is the sixteenth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का सोलहवाँ सूत्र क्या है?,"That Highest State Of Non Attachment Occurs When There Is Freedom From Influence Of Material Nature

{Practice And Non Attachment Are Like Movement And Balance Of A Running Bicycle
To Keep Running You Must Have To Keep Balance
And To Make Balance You Must Have To Running}",परम अवस्था वह होती है जिसमे हम प्रकृति के गुणों से प्रभावित नही होते उनसे आसक्त नही होते है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,16
1,17,5,Patanjali Yoga Sutra,वितर्कविचारानन्दास्मितारूपानुगमात्सम्प्रज्ञातः,vitarka-vicārānandāsmitā-rūpānugamāt samprajñātaḥ,"जिस पहली स्थिति मे हम अपने ऊपर विचार करते है, तर्क वितर्क करते है तथा खुद पर ध्यान केन्द्रित करते है ओर आनंदित रहते है उसे सम्प्रज्ञात कहते है","The First State ls Samprajnata (Samadhi) Which Is Associated With Gross Reasoning, Subtle
Thoughts, Bliss And Focus On Self Consciousness.",What is the seventeenth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का सत्रहवाँ सूत्र क्या है?,"The first state is Samprajnata or Samadhi which is associated with gross reasoning, subtle thoughts, bliss and focus of self consciousness.","जिस पहली स्थिति मे हम अपने ऊपर विचार करते है, तर्क वितर्क करते है तथा खुद पर ध्यान केन्द्रित करते है ओर आनंदित रहते है उसे सम्प्रज्ञात कहते है",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,17
1,18,5,Patanjali Yoga Sutra,विरामप्रत्ययाभ्यासपूर्वः संस्कारशेषोऽन्यः,virāma-pratyayābhyāsa-pūrvaḥ saṁskāra-śeṣo’nyaḥ,अभ्यास दवारा इससे आगे की स्थति मे हम पूरी तरह से बची हुड वासनाओ व विषयों से भी अनासक्तहो जाते है ओर हमे स्वयं का बोध भी नही रहता,The Other State Is In Which By Practice There Is Ceasing Of Previous Remaining Subtle Impressions And Objective Awareness Or Perception,What is the eighteenth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का अठारहवाँ सूत्र क्या है?,The Other State Is In Which By Practice There Is Ceasing Of Previous Remaining Subtle Impressions And Objective Awareness Or Perception,अभ्यास दवारा इससे आगे की स्थति मे हम पूरी तरह से बची हुड वासनाओ व विषयों से भी अनासक्तहो जाते है ओर हमे स्वयं का बोध भी नही रहता,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,18
1,19,6,Patanjali Yoga Sutra,भवप्रत्ययो विदेहप्रकृतिलयानाम्,bhava-pratyayo videha-prakṛti-layānām,जो पूरी तरह से प्रकृति में लय हो गये है उनके भावो में कुछ संस्कारो का शेष होना उनके बाकी अस्तित्व का कारण होता है,Of Those Which Are Diffused In Subtle Material Nature Or Higher States The Cause Is Their Psychology Has Impressions,What is the nineteenth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का उन्नीसवाँ सूत्र क्या है?,Of Those Which Are Diffused In Subtle Material Nature Or Higher States The Cause Is Their Psychology Has Impressions,जो पूरी तरह से प्रकृति में लय हो गये है उनके भावो में कुछ संस्कारो का शेष होना उनके बाकी अस्तित्व का कारण होता है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,19
1,20,6,Patanjali Yoga Sutra,श्रद्धावीर्यस्मृतिसमाधिप्रज्ञापूर्वक इतरेषाम्,śraddhā-vīrya-smṛti-samādhi-prajñā-pūrvaka itareṣām,"अन्य को श्रद्धा, वीर्य, स्मृति, समाधि और जान के दवारा ही इन अवस्थाओ का आभास होता है","For Others Trust, Will, Intentful Remembrance, Deep Meditation, Wisdom Are The Reason For Being Drawn Into These States",What is the twentieth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का बीसवाँ सूत्र क्या है?,"For Others Trust, Will, Intentful Remembrance, Deep Meditation, Wisdom Are The Reason For Being Drawn Into These States","अन्य को श्रद्धा, वीर्य, स्मृति, समाधि और जान के दवारा ही इन अवस्थाओ का आभास होता है",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,20
1,21,6,Patanjali Yoga Sutra,तीव्रसंवेगानामासन्नः,tīvra-saṁvegānām āsannaḥ,जो पूर्ण समर्पण के साथ अभ्यास करते है वे बहुत जल्द ही सफल होते है,Those Who Practice Very Intensely This Is Achieved Very Soon,What is the twenty-first sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का इक्कीसवाँ सूत्र क्या है?,Those Who Practice Very Intensely This Is Achieved Very Soon,जो पूर्ण समर्पण के साथ अभ्यास करते है वे बहुत जल्द ही सफल होते है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,21
1,22,7,Patanjali Yoga Sutra,मृदुमध्याधिमात्रत्वात्ततोऽपि विशेषः,mṛdu-madhyādhimātratvāt tato’pi viśeṣaḥ,"उनके अभ्यास में समर्पण को देखकर उन्हें मृदु , मध्यम आदी श्रेणियों में कहा जाता है","Mild, Medium, Intense Are Also Some Distinctions According To Way Of Practice",What is the twenty-second sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का बाईसवाँ सूत्र क्या है?,"Mild, Medium, Intense Are Also Some Distinctions According To Way Of Practice","उनके अभ्यास में समर्पण को देखकर उन्हें मृदु , मध्यम आदी श्रेणियों में कहा जाता है",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,22
1,23,7,Patanjali Yoga Sutra,ईश्वरप्रणिधानाद्वा,īśvara-praṇidhānād vā,परमात्मा को पूर्ण समर्पण के द्वारा भी हम उसे पा सकते है,Or It Can Be Achieved By Surrendering To Supreme Lord,What is the twenty-third sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का तेईसवाँ सूत्र क्या है?,Or It Can Be Achieved By Surrendering To Supreme Lord,परमात्मा को पूर्ण समर्पण के द्वारा भी हम उसे पा सकते है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,23
1,24,7,Patanjali Yoga Sutra,क्लेशकर्मविपाकाशयैरपरामृष्टः पुरुषविशेष ईश्वरः,kleśakarmavipākāśayairaparāmṛṣtaḥ puruṣaviśeṣa īśvaraḥ,परमात्मा परमतत्व कभी सुख दुःख कर्मो और विप्पतियो से प्रभावित नही होता,"The Supreme Lord Is A Particular Consciousness Who Is Not Effected By Troubles, Actions, Fruits Of The Actions Cause By Latent Impressions",What is the twenty-fourth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का चौबीसवाँ सूत्र क्या है?,"The Supreme Lord Is A Particular Consciousness Who Is Not Effected By Troubles, Actions, Fruits Of The Actions Cause By Latent Impressions",परमात्मा परमतत्व कभी सुख दुःख कर्मो और विप्पतियो से प्रभावित नही होता,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,24
1,25,7,Patanjali Yoga Sutra,तत्र निरतिशयं सर्वज्ञबीजम्,tatra niratiśayaṁ sarvajña-bījam,उससे ही जान की उत्पति है,"There, In Him Found The Unsurpassed Origin Of All Knowledge",What is the twenty-fifth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का पच्चीसवाँ सूत्र क्या है?,"There, In Him Found The Unsurpassed Origin Of All Knowledge",उससे ही जान की उत्पति है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,25
1,26,8,Patanjali Yoga Sutra,पूर्वेषामपि गुरुः कालेनानवच्छेदात्,pūrveṣām api guruḥ kālenānavacchedāt,वह काल से भी प्रभावित नही होता और प्राचीन गुरुओ का भी गुरु है,He Is Unconditioned By Time And The Master Of Even The Very Ancient Teachers,What is the twenty-sixth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का छब्बीसवाँ सूत्र क्या है?,He Is Unconditioned By Time And The Master Of Even The Very Ancient Teachers,वह काल से भी प्रभावित नही होता और प्राचीन गुरुओ का भी गुरु है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,26
1,27,8,Patanjali Yoga Sutra,तस्य वाचकः प्रणवः,tasya vācakaḥ praṇavaḥ,उसका संबोधन हम प्रणव “ओम” अक्षर से करते है,"Of Him, The Sacred Syllabe ""Pranav"" (Aum) Is The Designation",What is the twenty-seventh sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का सत्ताईसवाँ सूत्र क्या है?,"Of Him, The Sacred Syllabe ""Pranav"" (Aum) Is The Designation",उसका संबोधन हम प्रणव “ओम” अक्षर से करते है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,27
1,28,8,Patanjali Yoga Sutra,तज्जपस्तदर्थभावनम्,tajjapastadarthabhāvanam,इस धवनी का अर्थ समझने के लिए व समझकर इसका उच्चारण बार बार तथा निष्ठा भाव से किया जाता है,The Sound Is Remembered Constantly With Deep Feelings For The Meaning Of What It Represents,What is the twenty-eighth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का अट्ठाईसवाँ सूत्र क्या है?,The Sound Is Remembered Constantly With Deep Feelings For The Meaning Of What It Represents,इस धवनी का अर्थ समझने के लिए व समझकर इसका उच्चारण बार बार तथा निष्ठा भाव से किया जाता है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,28
1,29,8,Patanjali Yoga Sutra,ततः प्रत्यक्चेतनाधिगमोऽप्यन्तरायाभावश्च,tataḥ pratyak-cetanādhigamo’py antarāyābhāvaś ca,इससे परम्बोध तथा बाधाओं का हरण होता है,From That Comes the Awareness Of Self And Removal Of Obstacles,What is the twenty-ninth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का उनतीसवाँ सूत्र क्या है?,From That Comes the Awareness Of Self And Removal Of Obstacles,इससे परम्बोध तथा बाधाओं का हरण होता है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,29
1,30,9,Patanjali Yoga Sutra,व्याधिस्त्यानसंशयप्रमादालस्याविरतिभ्रान्तिदर्शनालब्धभूमिकत्वानवस्थितत्वानि चित्तविक्षेपास्तेऽन्तरायाः,vyādhi-styāna-saṁśaya-pramādālasyāvirati-bhrānti-darśanālabdha-bhūmikatvān-avasthitatvāni citta-vikṣepās te’ntarāyāḥ,"रोग, आलस्य ,संशय, मिथ्या , भ्रान्ति होना , की गयी प्रगति का पूर्ण लाभ न होना ये सब बाधाए है","The Obstacles Are Disease, Idleness, Doubt, Laziness, Inattentiveness, False Views, Not Being Able To maintain The Progress Attained, Instability And Distraction Of Mind",What is the thirtieth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का तीसवाँ सूत्र क्या है?,"The Obstacles Are Disease, Idleness, Doubt, Laziness, Inattentiveness, False Views, Not Being Able To maintain The Progress Attained, Instability And Distraction Of Mind","रोग, आलस्य ,संशय, मिथ्या , भ्रान्ति होना , की गयी प्रगति का पूर्ण लाभ न होना ये सब बाधाए है",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,30
1,31,9,Patanjali Yoga Sutra,दुःखदौर्मनस्याङ्गमेजयत्वश्वासप्रश्वासा विक्षेपसहभुवः,duḥkha-daurmanasyāṅgamejayatva-śvāsa-praśvāsā vikṣepa-sahabhuvaḥ,"इनसे मानसिक पीड़ा व शारीरिक पीड़ा ,तनाव ,अधीर होना ,अनियमित श्वास आदि परेशानिया होती हि","These Are Accompanied By Others Which Are Mental And Physical Pain, Depression, Nervousness and Irregular Breathing",What is the thirty-first sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का इकतीसवाँ सूत्र क्या है?,"These Are Accompanied By Others Which Are Mental And Physical Pain, Depression, Nervousness and Irregular Breathing","इनसे मानसिक पीड़ा व शारीरिक पीड़ा ,तनाव ,अधीर होना ,अनियमित श्वास आदि परेशानिया होती हि",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,31
1,32,9,Patanjali Yoga Sutra,तत्प्रतिषेधार्थमेकतत्त्वाभ्यासः,tat-pratiṣedhārtham eka-tattvābhyāsaḥ,इनको रोकने के लिए एकैद्वित होना जरूरी है,To Prevent These One Should Practice One pointedness,What is the thirty-second sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का बत्तीसवाँ सूत्र क्या है?,To Prevent These One Should Practice One pointedness,इनको रोकने के लिए एकैद्वित होना जरूरी है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,32
1,33,10,Patanjali Yoga Sutra,मैत्रीकरुणामुदितोपेक्षणां सुखदुःखपुण्यापुण्यविषयाणां भावनातश्चित्तप्रसादनम्,maitrīkaruṇāmuditopekṣaṇāṃ sukhaduḥkhapuṇyāpuṇyaviṣayāṇāṃ bhāvanātaścittaprasādanam,"मत्री, करुणा, दयाभाव, स्वीकार करना, सुख दुःख व अनासक्त होना इन सबसे चित्त शांत होता है","The Mind Is Purified By Cultivating Feeling Of Friendliness, Compassion, Goodwill, Acceptance, Joy and Indifference Towards Sorrow And Non-Virtue",What is the thirty-third sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का तैंतीसवाँ सूत्र क्या है?,"The Mind Is Purified By Cultivating Feeling Of Friendliness, Compassion, Goodwill, Acceptance, Joy and Indifference Towards Sorrow And Non-Virtue","मत्री, करुणा, दयाभाव, स्वीकार करना, सुख दुःख व अनासक्त होना इन सबसे चित्त शांत होता है",https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,33
1,34,10,Patanjali Yoga Sutra,प्रच्छर्दनविधारणाभ्यां वा प्राणस्य,pracchardana-vidhāraṇābhyāṁ vā prāṇasya,श्वास को नियमित व मंद करके भी मन शांत होता है,The Mind Is Also Calmed By Gentle Breath Or Regulating The Breath,What is the thirty-fourth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का चौंतीसवाँ सूत्र क्या है?,The Mind Is Also Calmed By Gentle Breath Or Regulating The Breath,श्वास को नियमित व मंद करके भी मन शांत होता है,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,34
1,35,11,Patanjali Yoga Sutra,विषयवती वा प्रवृत्तिरुत्पन्ना मनसः स्थितिनिबन्धनी,viṣayavatī vā pravṛttir utpannā manasaḥ sthiti-nibandhanī,या फिर किसी वस्तु पर केन्द्रित करके जिससे चित्त को पूर्ण शांती का बोद्ध हो,"Or It Can Be Achieved By Concentration On Sensory Impressions In A Way That They Lead To Higher, Subtler Sense Perception",What is the thirty-fifth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का पैंतीसवाँ सूत्र क्या है?,"Or It Can Be Achieved By Concentration On Sensory Impressions In A Way That They Lead To Higher, Subtler Sense Perception",या फिर किसी वस्तु पर केन्द्रित करके जिससे चित्त को पूर्ण शांती का बोद्ध हो,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,35
1,36,11,Patanjali Yoga Sutra,विशोका वा ज्योतिष्मती,viśokā vā jyotiṣmatī,या फिर आत्मप्रकाश पर केन्द्रित होकर,Or The Mind Is Purified By Concentration On Sorrow less And Spiritually Luminous State,What is the thirty-sixth sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का छत्तीसवाँ सूत्र क्या है?,Or The Mind Is Purified By Concentration On Sorrow less And Spiritually Luminous State,या फिर आत्मप्रकाश पर केन्द्रित होकर,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,36
1,37,12,Patanjali Yoga Sutra,वीतरागविषयं वा चित्तम्,vīta-rāga-viṣayaṁ vā cittam,या फिर राग द्वेष व इच्छाओ से अनासक्त होकर,Or Contemplating On Having A Mind Devoid Of Desires,What is the thirty-seventh sutra in Patanjali Yoga Sutra?,पतंजलि योग सूत्र का सैंतीसवाँ सूत्र क्या है?,Or Contemplating On Having A Mind Devoid Of Desires,या फिर राग द्वेष व इच्छाओ से अनासक्त होकर,https://gyanbharatam.com/manuscript/view?id=2d6a454c-ee2c-4ee8-8093-e98e392ccb2e,,,37
