Questions,Answer,References
What are the eight limbs of yoga  ?,"Yama (restraints) includes universal ethical principles—ahiṃsā (nonviolence), satya (truthfulness), asteya (non-stealing), brahmacarya (continence), and aparigraha (non-possessiveness)—applied without exception across time, place, or circumstance.
​

Niyama (observances) comprises personal purifications: śauca (purity), santoṣa (contentment), tapas (austerity), svādhyāya (scriptural study), and īśvarapraṇidhāna (surrender to the divine), cultivating inner clarity.
​

Āsana (posture) establishes a steady, comfortable seat (sthira-sukham āsanam) free from dualities, preparing the body for prolonged meditation.

Prāṇāyāma (breath regulation) controls prāṇa through inhalation (pūraka), exhalation (rechaka), and retention (kumbhaka), removing the veiling of the light .
​

Pratyāhāra (sense withdrawal) detaches senses from external objects, mastering the mind's tendencies.
​

Dhāraṇā (concentration) fixes awareness on a single point (deśa-bandhās cittasya dhāraṇā), the gateway to meditation.
​

Dhyāna (meditation) sustains uninterrupted flow of awareness toward that point.
​

Samādhi (absorption) merges knower, knowing, and known into non-dual unity, the culmination of the path.",https://mahiyoga.com/lets-explore-the-eight-limbs-of-yoga/
What is the role of kriya yoga ?,"Kriya yoga, as defined in Patañjali's Yoga Sūtras 2.1 (tapaḥ-svādhyāya-īśvarapraṇidhānāni kriyā-yogaḥ), is the ""yoga of action"" or preparatory practice comprising three components: tapas (austerity/discipline), svādhyāya (self-study/scriptural recitation), and īśvarapraṇidhāna (surrender/devotion to Īśvara).

Its role, per YS 2.2, is twofold: (1) to cultivate samādhi-siddhi (attainment of absorption states) and (2) to attenuate the kleśas (afflictions: avidyā, etc., YS 2.3–2.11), reducing mental turbulence (citta-vṛtti) caused by rajas/tamas, thus purifying the mind for higher limbs like the aṣṭāṅga path.

This positions kriya yoga as the initial sādhana-pāda practice bridging ethics (yama/niyama) and meditation, fostering sattva for direct insight (viveka-khyāti) and liberation (kaivalya).",https://integralyogamagazine.org/patanjalis-words-kriya-yoga/
"What are the three guṇas in yoga philosophy , and how do they influence the mind?","Sattva (lucidity/purity/harmony) manifests illumination, clarity, peace, wisdom, and joy; when dominant, it fosters steady mind (citta), equanimity, and receptivity to truth (viveka), as in YS 1.16's sattva-purusha-anyatakhyati (discrimination between sattva and puruṣa).

Rajas (activity/passion) drives motion, desire, restlessness, ambition, anger, and change; it agitates the mind with craving (rāga) and distractions (vṛttis), perpetuating karma and attachment (e.g., fueling kleśas in YS 2.3).

Tamas (inertia/darkness) induces dullness, delusion, apathy, heaviness, ignorance (avidyā), and obstruction; it clouds judgment, promotes procrastination, depression, and veiling (āvaraṇa), hindering insight (e.g., YS 1.16)",https://swamij.com/yoga-sutras-41314.htm
"What are the three guṇas in yoga philosophy , and how do they influence the mind?","Yoga practices (kriyā, aṣṭāṅga) aim to increase sattva, balance/moderate rajas, and reduce tamas for mental purification (citta-śuddhi), enabling dhyāna and guṇa transcendence (guṇa-parināmābhisamādhi, YS 4.32–34",http://yogawithsubhash.com/2025/09/03/gunas-in-daily-life/
"What are the three guṇas in yoga philosophy , and how do they influence the mind?","The three guṇas—sattva, rajas, and tamas—are fundamental constituents of prakṛti (primordial matter) in yoga philosophy, adopted from Sāṃkhya and referenced in Patañjali's Yoga Sūtras (e.g., 1.16, 2.45, 4.13–14, 4.32–34), where they dynamically interplay to color all phenomena, including the mind (citta), binding puruṣa (consciousness) to saṃsāra until transcended via yoga.",https://iep.utm.edu/yoga/
What are the five kleśas and how do they cause suffering?,"The five kleśas (afflictions) are the root causes of human suffering (duḥkha) in Patañjali's yoga philosophy, listed in Yoga Sūtras 2.3: avidyā-asmitā-rāga-dveṣa-abhiniveśāḥ kleśāḥ (""Ignorance, ego-sense, attachment, aversion, and clinging to life are the kleśas""). They obscure true knowledge (vidyā), perpetuate citta-vṛtti (mind fluctuations, YS 1.5–11), fuel karma, and bind puruṣa to saṃsāra, manifesting as latent (prasupta), attenuated (tanu), intermittent (vicchinna), or active (udāra) states (YS 2.4)",https://integralyogamagazine.org/patanjalis-words-the-five-kleshas-causes-of-suffering/
What are the five kleśas and how do they cause suffering?,"Kriya yoga (YS 2.1–2.2) and aṣṭāṅga practices (YS 2.29) attenuate them progressively toward parināmī-pratisaṃkhyā (complete uprooting, YS 4.30), yielding liberation (kaivalya, YS 4.34).",https://www.ijfmr.com/papers/2025/6/60811.pdf
What are the five kleśas and how do they cause suffering?,"Avidyā (ignorance, YS 2.4–2.5): Root kleśa; misperceiving impermanent as permanent, impure as pure, suffering as pleasure, non-Self as Self—causing all others and ongoing rebirth.

Asmitā (ego-identification, YS 2.6): Confusing puruṣa (pure consciousness) with buddhi/sattva (mind/matter), fostering ""I-am-ness"" and self-centeredness, amplifying separation and reactivity.

Rāga (attachment/like, YS 2.7): Craving pleasure/experiences due to prior enjoyment, leading to addiction, dissatisfaction, and endless pursuit of transient highs.

Dveṣa (aversion/dislike, YS 2.8): Repulsion from pain/sources of past suffering, generating anger, avoidance, and cycles of conflict/hostility.

Abhiniveśa (clinging/fear of death, YS 2.9): Innate attachment to embodiment even in the wise, driving survival instincts, fear of change/loss, and perpetuation of saṃsāric existence.",https://www.yogamatters.com/blogs/philosophy/the-five-kleshas-causes-of-suffering
What are the pramāṇas (means of knowledge) in yoga epistemology ? ,"Yoga epistemology, aligned with Sāṃkhya, accepts three pramāṇas (valid means of knowledge) as the primary vṛttis producing true cognition (pramā): pratyakṣa (direct perception), anumāna (inference), and āgama/śabda (scriptural testimony), per Yoga Sūtras 1.7 (pratyakṣa-anumāna-āgamāḥ pramāṇāni).",https://www.wisdomlib.org/hinduism/essay/jainism-and-patanjali-yoga/d/doc1208524.html
What are the pramāṇas (means of knowledge) in yoga epistemology ? ,"Pratyakṣa (perception): Direct sensory cognition of objects, the foundational and superior pramāṇa, as all others depend on it; encompasses ordinary senses and yogic nirvitarka-samāpatti (YS 1.7, 1.49).

Anumāna (inference): Knowledge derived by logical deduction from observed signs/percepts (e.g., smoke implies fire); structured as hetu (reason), sādhya (conclusion), udāharaṇa (example) (YS 1.7).

Āgama/śabda (verbal testimony): Reliable words of authoritative sources (āpta-vacana), such as Vedic scriptures or realized sages, valid if uncontradicted; crucial for subtle truths beyond senses/inference (YS 1.7).",https://www.yogapedia.com/definition/5727/pramana
What are the pramāṇas (means of knowledge) in yoga epistemology ? ,"These distinguish valid knowledge from invalid vṛttis like viparyaya (error, YS 1.8), enabling viveka-khyāti (discriminative discernment) for liberation; pratyakṣa holds primacy in practice.",https://hinduinfopedia.org/yoga-sutras-pramana-vritti-exploring-sources-of-true-knowledge/
What is the distinction between puruṣa (pure consciousness) and prakṛti (matter/nature) in yoga-sāṃkhya?,"In yoga-sāṃkhya dualism, puruṣa (pure consciousness) is the eternal, unchanging, inactive, singular-yet-plural witness (sākṣin), the true Self—devoid of qualities (nirguṇa), beyond perception or modification, incapable of creation or experience, serving only as the illuminator (dṛk) of phenomena.

Prakṛti (primordial nature/matter) is the unconscious, active material principle in eternal equilibrium of three guṇas (sattva, rajas, tamas), evolving into 24 tattvas (buddhi, ahaṃkāra, manas, senses, tanmātras, mahābhūtas) upon proximity to puruṣa, manifesting the perceived world of becoming, cognition, and suffering.

The distinction is absolute: puruṣa as dṛś (seer, non-agent) versus prakṛti as dṛśya (seen, agent of change; YS 2.16–18, 4.18–21); suffering stems from avidyā-induced misidentification (samyoga), where puruṣa falsely ""enjoys"" prakṛti's flux via citta (mind), perpetuating saṃsāra. Liberation (kaivalya, YS 4.34) is discriminative isolation (vivekakhyāti, YS 2.26), realizing their irreconcilable separation.",https://yogaandhappiness.in/brief-introduction-to-samkhya-and-yoga-darshana/?srsltid=AfmBOoo6KWwPTz0E6YXiloq6ZO7ues0wrwo2yhqJ_YgOXfuDLDO5OCNA
"When is International Yoga Day , and who proposed it ? ","International Yoga Day is celebrated annually on June 21. It was proposed by India's Prime Minister Narendra Modi in his address to the United Nations General Assembly on September 27, 2014.",https://www.ndtv.com/offbeat/international-yoga-day-2025-date-theme-history-significance-and-more-8714574
"When is International Yoga Day , and who proposed it ? ","The UN General Assembly adopted the resolution (69/131) on December 11, 2014, declaring June 21 as the International Day of Yoga, with co-sponsorship from a record 177 member states; the first observance was on June 21, 2015. June 21 was chosen as it marks the summer solstice, the longest day in the Northern Hemisphere, symbolizing yoga's harmony with nature.",https://www.indiainnewyork.gov.in/yogaday/about.html
How many personalities or layers does yoga accept in human nature?,"Yoga accepts five layers (pañca-kośa) or sheaths (kośa) in human nature, progressively subtler encasements veiling the ātman (Self), as described in Taittirīya Upaniṣad 2.1–8 (Brahmānanda-vallī): annamaya kośa (food/physical body), prāṇamaya kośa (vital energy/prāṇa), manomaya kośa (mind/emotions), vijñānamaya kośa (intellect/discernment), and ānandamaya kośa (bliss/causal)",https://himalayaninstitute.org/online/the-koshas-five-layers-of-being/
How many personalities or layers does yoga accept in human nature?,"These sheath the Self like onion layers, with yoga practices purifying each for holistic integration and Self-realization (kośa-viveka); Pātañjala yoga correlates via citta (mind-field) as manomaya/vijñānamaya, prāṇa regulation, and puruṣa discernment (YS 1.2, 2.19).",https://ijip.in/wp-content/uploads/2020/06/18.01.105.20180602.pdf
"Does yoga improve flexibility, immunity, digestion, and metabolism?","Yes, scientific studies validate yoga's benefits for flexibility, immunity, digestion, and metabolism. Regular practice enhances these via stress reduction (lowering cortisol), improved circulation, organ stimulation, and neuro-endocrine balance",https://pmc.ncbi.nlm.nih.gov/articles/PMC3193654/
"Does yoga improve flexibility, immunity, digestion, and metabolism?","Flexibility: Yoga increases range of motion and muscle elasticity, especially in older adults; studies show significant gains after 8–12 weeks.

Immunity: Poses, prāṇāyāma, and relaxation boost natural killer cells, reduce inflammation markers, enhance lymphatic flow, and lower stress hormones, strengthening immune response.",https://somayogainstitute.com/108-scientifically-proven-benefits-of-yoga/
"Does yoga improve flexibility, immunity, digestion, and metabolism?","Digestion: Twists, forward bends (e.g., Pavanamuktasana), and abdominal poses stimulate peristalsis, alleviate IBS/bloating, and improve gut-brain axis via vagus nerve.

Metabolism: Vigorous styles (Vinyasa, Power Yoga) raise calorie burn, insulin sensitivity, and thyroid function; combined with mindful eating, aids weight regulation and glucose control.",https://nutriorg.com/blogs/news/19-science-based-benefits-of-yoga-that-you-should-know
What are health benefits of yoga?,"Yoga enhances muscular strength, flexibility, balance, and cardiorespiratory function; meta-analyses show moderate effects on upper/lower limb strength (SMD 0.55–0.65), flexibility (SMD 0.38–0.49), and balance (SMD 0.64–0.81) in adults/elderly.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8583600/
What are health benefits of yoga?,"Yoga reduces stress, anxiety, and depressive symptoms (SMD 0.50–0.86), with moderate evidence for mood disorders and quality of life improvements.

Brain health benefits include neuroplasticity changes for cognition and emotional regulation.",https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0323268
When and how often should prāṇāyāma be practiced  ?,"Prāṇāyāma is traditionally practiced early morning (4–6 AM, Brahma-muhūrta) on an empty stomach (2–4 hours post-meal), in a clean, calm environment, after āsana mastery (YS 2.49: tasmin sati śvāsa-praśvāsayor gati-vicchedaḥ prāṇāyāmaḥ). Evening (pre-sunset/bedtime) suits calming techniques.",https://integralyogamagazine.org/integral-yoga-pranayama-practice-guidelines/
When and how often should prāṇāyāma be practiced  ?,"Frequency: Daily for optimal results; beginners 5–10 minutes (2–3 rounds/techniques), advancing to 15–30 minutes (up to 3 sessions/day for health). Consistency trumps duration—320 daily breaths in advanced texts (e.g., Sāṃkhya-kārikā influences), but start gradual to avoid strain.",https://www.yoga-age.com/asanas/prana.html
What is prāṇāyāma ? ,"Prāṇāyāma is the fourth limb of Patañjali's aṣṭāṅga yoga, defined in Yoga Sūtras 2.49–2.53 as the regulation or cessation (gati-vicchedaḥ) of inhalation (pūraka), exhalation (rechaka), and breath-retention (kumbhaka) after mastering steady posture (āsana), aiming to still citta-vṛttis by unveiling inner light (dīva-sparśa, YS 2.52)",https://www.dlshq.org/download/the-science-of-pranayama/
What is prāṇāyāma ? ,"Etymologically from prāṇa (vital life-force/energy permeating all) + āyāma (extension/control/cessation), it transcends mere breathing to harness cosmic prāṇa, preparing for pratyāhāra and dhyāna (YS 2.53). Classical texts like Haṭha Yoga Pradīpikā (2.2–3) elaborate techniques (e.g., nāḍīśodhana), while Bhagavad Gītā 4.29 hints at breath sacrifice for trance.",https://www.dlshq.org/download/the-science-of-pranayama/
Which beginner āsanas build strength and flexibility ? ,"Beginner āsanas for building strength (legs, core, arms) and flexibility (hamstrings, hips, spine) include Tāḍāsana, Vṛkṣāsana, Bhujangāsana, Adho Mukha Śvānāsana, and Utkatāsana, recommended across yoga schools for foundational practice",https://timesofindia.indiatimes.com/life-style/health-fitness/5-yoga-asanas-that-promote-flexibility-and-strength-in-beginners/photostory/121338927.cms
Which beginner āsanas build strength and flexibility ? ,"Tāḍāsana (Mountain Pose): Aligns posture, strengthens ankles/legs/core; stand tall, arms overhead, hold 30–60s.

Vṛkṣāsana (Tree Pose): Builds leg/ankle strength, hip flexibility, balance; foot on inner thigh, prayer hands, 20–30s/side.

Bhujangāsana (Cobra Pose): Strengthens back/spine, opens chest; prone lift chest, hold 15–30s.

Adho Mukha Śvānāsana (Downward Dog): Stretches hamstrings/calves/shoulders, strengthens arms/legs; inverted V, hold 30s–1min.

Utkatāsana (Chair Pose): Tones thighs/core/shoulders; knees bent, arms up, hold 30–60s.",https://ekamyoga.com/blogs/online-yoga-guide/best-asanas-in-yoga-for-strength-flexibility-and-wellness
"How does prāṇāyāma differ from simple deep breathing, and what are its mental benefits?","Prāṇāyāma differs from simple deep breathing by being a structured yogic science of prāṇa (life-force) regulation via precise techniques (pūraka, rechaka, kumbhaka), bandhas (locks), and ratios, aiming to purify nāḍīs, balance guṇas, and transcend vṛttis (YS 2.49–53), not just oxygenation. Deep breathing is unstructured diaphragmatic expansion for relaxation, lacking prāṇa control or retention.",https://www.evolveyogatraining.com/post/deep-breathing-v-pranayama
"How does prāṇāyāma differ from simple deep breathing, and what are its mental benefits?","Mental benefits: Reduces anxiety/stress (via parasympathetic activation, cortisol drop), enhances focus/mindfulness (frontal lobe oxygenation), emotional regulation (vagus nerve), and cognitive clarity (slower cycles induce dhyāna-like states); RCTs show improved attention, memory, QOL in stress/cancer patients.",https://pmc.ncbi.nlm.nih.gov/articles/PMC7336946/
What is prāṇāyāma ?,"[Prāṇāyāma is the fourth limb of Patañjali's aṣṭāṅga yoga, defined in Yoga Sūtras 2.49–2.53 as the regulation or cessation (gati-vicchedaḥ) of inhalation (pūraka), exhalation (rechaka), and breath-retention (kumbhaka) after mastering steady posture (āsana), aiming to still citta-vṛttis by unveiling inner light (dīva-sparśa, YS 2.52). Etymologically from prāṇa (vital life-force/energy permeating all) + āyāma (extension/control/cessation), it transcends mere breathing to harness cosmic prāṇa, preparing for pratyāhāra and dhyāna (YS 2.53). Classical texts like Haṭha Yoga Pradīpikā (2.2–3) elaborate techniques (e.g., nāḍīśodhana), while Bhagavad Gītā 4.29 hints at breath sacrifice for trance.]",[https://www.dlshq.org/download/the-science-of-pranayama/]
